Date,Open,High,Low,Close,P/E,P/B,Div Yield %
15 Oct 2018,25444.0,25466.2,25147.8,25388.05,54.22,2.88,0.50
12 Oct 2018,25001.95,25484.2,24975.45,25395.85,54.24,2.88,0.49
11 Oct 2018,24541.75,24940.1,24493.7,24783.95,52.93,2.81,0.51
10 Oct 2018,24596.6,25371.15,24559.9,25321.7,54.08,2.87,0.50
09 Oct 2018,24703.65,24759.9,24464.9,24527.65,52.39,2.78,0.51
08 Oct 2018,24470.75,24745.35,24240.05,24618.35,52.58,2.79,0.51
05 Oct 2018,24741.65,25080.2,24250.65,24443.45,52.21,2.77,0.51
04 Oct 2018,24735.15,24893.4,24501.05,24819.3,53.01,2.82,0.51
03 Oct 2018,25290.55,25470.05,25026.35,25069.9,53.54,2.85,0.50
01 Oct 2018,24943.9,25412.15,24707.65,25367.0,54.18,2.88,0.50
28 Sep 2018,25135.8,25354.7,24919.25,25119.85,53.65,2.85,0.50
27 Sep 2018,25442.1,25452.5,25007.05,25042.15,52.48,2.8,0.51
26 Sep 2018,25525.1,25525.1,25197.35,25376.3,53.18,2.84,0.50
25 Sep 2018,24947.7,25406.95,24678.25,25330.35,53.08,2.83,0.50
24 Sep 2018,25645.05,25649.7,24904.5,24970.35,52.33,2.79,0.51
21 Sep 2018,26331.05,26490.4,25053.35,25596.9,53.64,2.86,0.50
19 Sep 2018,26532.0,26611.6,26235.7,26277.35,55.07,2.94,0.49
18 Sep 2018,26757.0,26901.05,26407.45,26441.45,55.41,2.95,0.48
17 Sep 2018,27002.6,27002.6,26743.4,26820.3,56.20,3.0,0.48
14 Sep 2018,27059.85,27205.75,26989.8,27163.85,56.92,3.03,0.47
12 Sep 2018,26895.15,26895.15,26555.15,26819.2,56.20,3.0,0.48
11 Sep 2018,27295.2,27318.45,26772.25,26807.5,56.18,3.0,0.48
10 Sep 2018,27395.2,27404.85,27142.55,27201.75,57.00,3.04,0.47
07 Sep 2018,27439.25,27512.5,27232.8,27481.45,57.59,3.07,0.46
06 Sep 2018,27464.25,27552.8,27246.25,27468.7,57.56,3.07,0.46
05 Sep 2018,27409.3,27506.3,27136.05,27376.05,57.37,3.06,0.47
04 Sep 2018,27845.55,27875.15,27385.85,27430.75,57.48,3.06,0.46
03 Sep 2018,28199.45,28203.2,27777.4,27819.5,58.30,3.11,0.46
31 Aug 2018,27998.0,28157.35,27940.95,28061.75,58.81,3.14,0.45
30 Aug 2018,28233.7,28233.7,27961.75,28103.25,58.89,3.14,0.45
29 Aug 2018,28233.4,28344.1,28167.8,28224.1,59.15,3.15,0.45
28 Aug 2018,28379.9,28388.65,28152.7,28269.65,59.24,3.18,0.44
27 Aug 2018,27971.25,28317.75,27958.2,28264.2,59.23,3.18,0.44
24 Aug 2018,27954.25,28122.75,27782.8,27834.7,58.33,3.13,0.44
23 Aug 2018,28321.95,28325.45,27965.35,28027.9,58.73,3.15,0.44
21 Aug 2018,28295.85,28305.95,28151.9,28257.9,59.22,3.18,0.44
20 Aug 2018,28171.65,28322.3,28171.65,28274.25,59.25,3.18,0.44
17 Aug 2018,27991.75,28178.15,27953.8,28128.55,58.95,3.17,0.44
16 Aug 2018,27836.15,28013.1,27779.5,27826.55,58.31,3.13,0.44
14 Aug 2018,27864.4,28053.05,27854.9,28021.7,58.72,3.15,0.44
13 Aug 2018,27760.8,27911.85,27739.5,27794.4,57.18,3.13,0.44
10 Aug 2018,28348.95,28377.9,28087.65,28124.25,52.31,3.17,0.44
09 Aug 2018,28173.65,28363.4,28132.0,28320.0,53.90,3.19,0.44
08 Aug 2018,27930.55,28128.65,27858.75,28062.45,53.95,3.16,0.44
07 Aug 2018,27972.95,27988.2,27827.3,27875.9,53.69,3.14,0.44
06 Aug 2018,27769.55,27994.0,27766.05,27898.5,53.73,3.14,0.44
